Mã,Tên vị trí,Phòng ban,Cấp,Còn thiếu,Mục đích vị trí,Kết quả đầu ra (mỗi dòng một mục),Nhiệm vụ (mỗi dòng một mục),Năng lực (TD-A04),"Quy trình (TD-C01, ngăn bằng dấu phẩy)",Tình trạng,Ghi chú,Người sửa
VT-09-H01,Head of Digital and AI,"09 IT, Truyền thông nội bộ và AI",Head,mục đích cụt · nhiệm vụ (10 dòng) · năng lực · quy trình (thiếu 3 mã),"Nhận nhiệm vụ và chỉ tiêu từ CEO, chuyển thành danh mục sáng kiến Digital và AI có ưu tiên, phân bổ cho Lead và Staff,…","Danh mục sáng kiến Digital và AI có thứ tự ưu tiên và ngân sách được duyệt
Hạ tầng CNTT và tài khoản người dùng vận hành ổn định, phân quyền rõ ràng
Bộ dashboard điều hành phục vụ các phòng, số liệu lấy từ nguồn chuẩn
Kênh truyền thông nội bộ hoạt động đúng nhịp, nội dung đã qua duyệt",,Chờ TD-A04 mở rộng,"09-P01, 09-P02, 09-P03, 09-P04",Đã ban hành v2,,
VT-09-L01,"Lead IT, Truyền thông nội bộ và AI","09 IT, Truyền thông nội bộ và AI",Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 3 mã),"Nhận các dòng nhiệm vụ và chỉ tiêu đã được Head of Digital and AI phân bổ, xác nhận hoặc đề xuất điều chỉnh, rồi chia…","Hệ thống mạng, máy chủ và thiết bị đầu cuối đạt mức sẵn sàng cam kết
Phiếu hỗ trợ người dùng đóng đúng hạn theo mức ưu tiên
Bản sao lưu và phương án khôi phục được kiểm thử định kỳ
Tài khoản và phân quyền rà soát theo kỳ, thu hồi ngay khi nhân sự nghỉ",,Chờ TD-A04 mở rộng,"09-P01, 09-P02, 09-P03, 09-P04",Đã ban hành v2,,
VT-09-S01,Digital Operations and AI Executive,"09 IT, Truyền thông nội bộ và AI",Staff,mục đích cụt · nhiệm vụ (10 dòng) · năng lực · quy trình (thiếu 3 mã),"Nhận nhiệm vụ từ cấp trên trực tiếp, xây dựng và duy trì các công cụ dữ liệu, dashboard, tự động hóa và ứng dụng AI…","Dashboard và báo cáo tự động chạy đúng lịch, số liệu khớp nguồn
Công cụ tự động hóa bàn giao kèm hướng dẫn sử dụng
Phiếu hỗ trợ xử lý đúng quy trình, có ghi nhận nguyên nhân
Nội dung truyền thông nội bộ đăng đúng lịch và đã qua duyệt",,Chờ TD-A04 mở rộng,"09-P01, 09-P02, 09-P03, 09-P04",Đã ban hành v2,,
VT-10-H01,"Head of Regulatory, Clinical Trial and Legal",10 Đăng ký - Nghiên cứu lâm sàng - Pháp chế sản phẩm,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 6 mã),"Nhận nhiệm vụ và chỉ tiêu từ CEO, chuyển thành kế hoạch nhiệm vụ của khối, phân bổ cho Lead, kiểm soát chất lượng đầu…","Danh mục số đăng ký và giấy phép còn hiệu lực cho toàn bộ sản phẩm, có lịch gia hạn
Hồ sơ đăng ký mới nộp đúng kế hoạch, tỷ lệ phải bổ sung trong ngưỡng
Bộ tài liệu pháp chế sản phẩm được duyệt trước khi lưu hành
Báo cáo tình trạng hồ sơ theo kỳ gửi Trưởng ban điều hành",,Chờ TD-A04 mở rộng,"10-P01, 10-P02, 10-P03, 10-P04",Đã ban hành v2,,
VT-10-L01,"Lead Regulatory, Clinical Trial and Legal",10 Đăng ký - Nghiên cứu lâm sàng - Pháp chế sản phẩm,Lead,mục đích cụt · nhiệm vụ (10 dòng) · năng lực · quy trình (thiếu 2 mã),"Nhận nhiệm vụ và chỉ tiêu từ Head, chuyển thành kế hoạch làm việc của nhóm, phân bổ cho Staff, kiểm soát tiến độ và…","Kế hoạch nộp hồ sơ theo từng sản phẩm và từng mốc
Hồ sơ đăng ký và công bố đủ thành phần trước khi trình ký
Bản theo dõi phản hồi của cơ quan quản lý và thời hạn bổ sung
Hồ sơ lưu trữ tra cứu được theo mã sản phẩm",,Chờ TD-A04 mở rộng,"10-P01, 10-P02, 10-P03, 10-P04",Đã ban hành v2,,
VT-10-S01,"Staff Regulatory, Clinical Trial and Legal",10 Đăng ký - Nghiên cứu lâm sàng - Pháp chế sản phẩm,Staff,mục đích cụt · nhiệm vụ (10 dòng) · năng lực · quy trình (thiếu 2 mã),"Nhận nhiệm vụ và chỉ tiêu từ Lead, trực tiếp thực hiện các đầu việc chuyên môn đúng chuẩn và đúng hạn, cập nhật mức…","Hồ sơ chuyên môn lập đúng chuẩn và đúng hạn được giao
Dữ liệu và tài liệu kỹ thuật thu thập đủ cho từng bộ hồ sơ
Tiến độ từng hồ sơ cập nhật trên hệ thống
Hồ sơ bổ sung theo yêu cầu cơ quan quản lý nộp đúng hạn",,Chờ TD-A04 mở rộng,"10-P01, 10-P02, 10-P03, 10-P04",Đã ban hành v2,,
VT-11-H01,Head of R&D (Trưởng đơn vị Nghiên cứu và Phát triển),11 Nghiên cứu và Phát triển,Head,mục đích cụt · nhiệm vụ (10 dòng) · năng lực · quy trình (thiếu 1 mã),"Nhận nhiệm vụ và chỉ tiêu từ CEO, chuyển thành danh mục dự án R&D có ưu tiên, phân bổ cho Lead và Staff, bảo đảm đầu ra…","Danh mục dự án R&D có thứ tự ưu tiên, gắn với chiến lược sản phẩm
Công thức và quy trình sản xuất đủ điều kiện chuyển giao cho sản xuất
Hồ sơ kỹ thuật sản phẩm đủ để đăng ký lưu hành
Báo cáo tiến độ và kết quả nghiên cứu theo kỳ",,Chờ TD-A04 mở rộng,"11-P01, 11-P02, 11-P03, 11-P04",Đã ban hành v2,,
VT-11-L01,Lead R&D Medical Nutrition (chức danh cũ: Head of R&D - Medical Nutrition),11 Nghiên cứu và Phát triển,Lead,mục đích cụt · nhiệm vụ (11 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu từ Head of R&D, chuyển thành kế hoạch dự án của mảng dinh dưỡng y học, phân bổ cho Staff,…","Kế hoạch dự án của mảng dinh dưỡng y học theo mốc
Công thức thử nghiệm có số liệu và kết luận rõ ràng
Hồ sơ định mức nguyên liệu cho từng sản phẩm
Báo cáo cải tiến chất lượng và tiết giảm giá thành",,Chờ TD-A04 mở rộng,"11-P01, 11-P02, 11-P03",Đã ban hành v2,,
VT-11-S01,Nhân viên R&D công thức và cải tiến QA - QC,11 Nghiên cứu và Phát triển,Staff,mục đích cụt · nhiệm vụ (10 dòng) · năng lực,"Nhận nhiệm vụ từ Lead, trực tiếp thực hiện nghiên cứu và cải tiến công thức, thiết kế và thực hiện thử nghiệm, ghi nhận…","Kết quả thử nghiệm ghi nhận đầy đủ trong sổ tay nghiên cứu
Mẫu thử và hồ sơ mẫu lưu đúng quy định
Đề xuất cải tiến công thức có căn cứ số liệu
Hồ sơ QA QC của từng lô thử nghiệm",,Chờ TD-A04 mở rộng,"11-P01, 11-P02, 11-P03",Đã ban hành v2,,
VT-12-H01,Head of Clinical Research - Trưởng đơn vị Nghiên cứu lâm sàng,12 Nghiên cứu lâm sàng,Head,mục đích cụt · nhiệm vụ (13 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu về bằng chứng khoa học từ CEO, chuyển thành kế hoạch nghiên cứu lâm sàng của phòng cho danh…","Kế hoạch nghiên cứu lâm sàng cho danh mục sản phẩm, được Trưởng ban điều hành duyệt
Đề cương nghiên cứu đạt chuẩn đạo đức và pháp lý trước khi triển khai
Bằng chứng khoa học phục vụ thông điệp sản phẩm, có nguồn trích dẫn đầy đủ
Báo cáo kết quả nghiên cứu và công bố khoa học theo kế hoạch",,Chờ TD-A04 mở rộng,"12-P01, 12-P02, 12-P03",Bản thảo chờ duyệt,,
VT-12-L01,Lead Clinical Research - Trưởng nhóm Nghiên cứu lâm sàng và Bằng chứng khoa học,12 Nghiên cứu lâm sàng,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu từ Head, chuyển thành kế hoạch triển khai của từng nghiên cứu, phân bổ cho Staff, kiểm soát…","Kế hoạch triển khai từng nghiên cứu theo mốc và theo điểm nghiên cứu
Hồ sơ nghiên cứu đầy đủ, tuân thủ đề cương và quy định
Dữ liệu nghiên cứu được kiểm tra chất lượng trước khi phân tích
Báo cáo tiến độ và sai lệch đề cương gửi Head",,Chờ TD-A04 mở rộng,"12-P01, 12-P02, 12-P03",Bản thảo chờ duyệt,,
VT-12-S01,Clinical Research Officer - Chuyên viên Nghiên cứu lâm sàng,12 Nghiên cứu lâm sàng,Staff,mục đích cụt · nhiệm vụ (11 dòng) · năng lực,"Nhận nhiệm vụ từ Lead theo từng nghiên cứu và từng hồ sơ cụ thể, trực tiếp thực hiện các đầu việc chuyên môn đúng đề…","Hồ sơ từng ca nghiên cứu ghi nhận đúng đề cương
Dữ liệu nhập đúng hạn và qua được kiểm tra logic
Tài liệu nghiên cứu lưu trữ theo đúng danh mục
Bản ghi nhận và báo cáo biến cố theo quy định",,Chờ TD-A04 mở rộng,"12-P01, 12-P02, 12-P03",Bản thảo chờ duyệt,,
VT-13-H01,Head of Supply - Trưởng đơn vị Mua hàng và chuỗi cung ứng (Mua hàng và S&OP),13 Mua hàng và chuỗi cung ứng,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 3 mã),"Nhận nhiệm vụ và chỉ tiêu nguồn cung từ CEO, chuyển thành kế hoạch S&OP và kế hoạch mua của phòng Mua hàng và chuỗi cung ứng, phân bổ cho…","Kế hoạch S&OP theo kỳ, cân đối giữa dự báo bán và năng lực cung
Kế hoạch mua và hợp đồng khung với nhà cung cấp chiến lược
Mức tồn kho và mức phục vụ đạt ngưỡng đã cam kết
Bộ đánh giá nhà cung cấp theo kỳ, làm căn cứ tiếp tục hợp tác",,Chờ TD-A04 mở rộng,"13-P01, 13-P02, 13-P03, 13-P04",Đã ban hành v2,,
VT-13-L01,Lead Supply - Trưởng nhóm Kế hoạch cung ứng và Mua hàng,13 Mua hàng và chuỗi cung ứng,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu từ Head of Supply, chuyển thành kế hoạch mua và lịch làm việc tuần của nhóm, phân bổ cho…","Kế hoạch mua theo tuần bám sát nhu cầu đã chốt
Đơn hàng đặt và theo dõi tiến độ giao, cảnh báo trễ kịp thời
Bảng so sánh giá và điều kiện của các nhà cung cấp
Hồ sơ nhà cung cấp cập nhật đầy đủ trong từ điển đối tác",,Chờ TD-A04 mở rộng,"13-P01, 13-P02, 13-P03, 13-P04",Đã ban hành v2,,
VT-13-S01,Staff Supply - Chuyên viên Mua hàng và Quản lý nhà cung cấp,13 Mua hàng và chuỗi cung ứng,Staff,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ từ Lead Supply theo danh sách mã hàng và nhà cung cấp được phân công, thực hiện đặt hàng và theo dõi giao…","Đơn đặt hàng lập đúng nhu cầu và đúng điều kiện đã duyệt
Lịch giao hàng theo dõi tới khi nhập kho, sai lệch báo ngay
Hồ sơ nhà cung cấp và chứng từ mua hàng lưu đủ
Bản đối chiếu công nợ phải trả theo nhà cung cấp",,Chờ TD-A04 mở rộng,"13-P01, 13-P02, 13-P03, 13-P04",Đã ban hành v2,,
VT-14-H01,Head of Production - Giám đốc Sản xuất kiêm Quản lý Gia công,14 Sản xuất gia công,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 20 mã),"Nhận nhiệm vụ và chỉ tiêu sản xuất từ CEO, chuyển thành kế hoạch sản xuất và kế hoạch gia công của phòng, phân bổ cho…","Kế hoạch sản xuất và gia công đáp ứng nhu cầu bán hàng theo kỳ
Sản lượng và chất lượng lô đạt chuẩn, tỷ lệ hao hụt trong ngưỡng
Hồ sơ lô sản xuất đầy đủ, đủ điều kiện xuất xưởng
Báo cáo giá thành sản xuất theo lô gửi Tài chính",,Chờ TD-A04 mở rộng,"14-P01, 14-P02, 14-P03, 14-P04",Đã ban hành v2,,
VT-14-L01,"Lead Production - Tổ trưởng ca sản xuất, chuyền sản xuất hoặc nhóm gia công",14 Sản xuất gia công,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu từ Head of Production, chuyển thành kế hoạch ca và lịch làm việc tuần của chuyền hoặc nhóm…","Kế hoạch ca và phân công chuyền đáp ứng lệnh sản xuất
Lô sản xuất chạy đúng SOP và đúng thông số công nghệ
Hồ sơ ca sản xuất ghi nhận đầy đủ, có xác nhận
Báo cáo sự cố dây chuyền và hành động khắc phục",,Chờ TD-A04 mở rộng,"14-P01, 14-P02, 14-P03, 14-P04",Đã ban hành v2,,
VT-14-S01,Staff Production - Nhân viên vận hành sản xuất,14 Sản xuất gia công,Staff,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ từ Lead Production theo lô và lệnh sản xuất được phân công, vận hành đúng SOP và đúng thông số công nghệ,…","Sản phẩm của ca đạt tiêu chuẩn kiểm tra trong quá trình
Hồ sơ lô ghi chép đầy đủ ngay tại thời điểm thao tác
Vệ sinh và bàn giao ca theo đúng quy định
Bất thường được ghi nhận và báo cáo ngay khi phát hiện",,Chờ TD-A04 mở rộng,"14-P01, 14-P02, 14-P03, 14-P04",Đã ban hành v2,,
VT-15-H01,Head of Factory Project and GMP Compliance - Trưởng đơn vị Vận hành nhà máy,15 Vận hành nhà máy,Head,mục đích cụt · nhiệm vụ (13 dòng) · năng lực · quy trình (thiếu 4 mã),"Nhận nhiệm vụ đầu tư nhà máy và chuẩn GMP từ CEO, chuyển thành kế hoạch tổng thể dự án theo phase với mốc tiến độ, ngân…","Kế hoạch tổng thể dự án nhà máy theo phase, có mốc tiến độ và ngân sách
Hồ sơ đáp ứng chuẩn GMP cho từng khu vực, sẵn sàng thẩm định
Báo cáo giải ngân đầu tư theo mốc, kiểm soát trong ngân sách đã duyệt
Hồ sơ nghiệm thu và bàn giao từng hạng mục đầy đủ",,Chờ TD-A04 mở rộng,"15-P01, 15-P02, 15-P03, 15-P04",Đã ban hành v2,,
VT-15-L01,Lead MEP and Utilities - Trưởng nhóm Cơ điện và Hạ tầng kỹ thuật,15 Vận hành nhà máy,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ về phần cơ điện và hạ tầng kỹ thuật do Head phân bổ, chuyển thành kế hoạch thiết kế, lắp đặt, kiểm tra…","Kế hoạch thiết kế và lắp đặt hệ cơ điện theo tiến độ dự án
Biên bản kiểm tra và nghiệm thu từng hạng mục kỹ thuật
Hồ sơ hoàn công và tài liệu vận hành thiết bị
Báo cáo khối lượng và phát sinh so với dự toán",,Chờ TD-A04 mở rộng,"15-P01, 15-P04, 15-P05, 15-P08",Đã ban hành v2,,
VT-15-S01,Staff MEP and Project Documentation - Nhân viên Kỹ thuật Cơ điện và Hồ sơ Dự án,15 Vận hành nhà máy,Staff,mục đích cụt · nhiệm vụ (11 dòng) · năng lực,"Nhận nhiệm vụ do Lead phân bổ cho từng hạng mục thiết bị và từng bộ hồ sơ, thực hiện việc theo dõi hiện trường, đo và…","Nhật ký hiện trường và số liệu đo ghi nhận đầy đủ
Bộ hồ sơ dự án sắp xếp theo danh mục, tra cứu được
Bảng bóc tách khối lượng vật tư theo từng hạng mục
Biên bản kiểm tra thiết bị trước nghiệm thu",,Chờ TD-A04 mở rộng,"15-P01, 15-P04, 15-P05, 15-P08",Đã ban hành v2,,
VT-16-H01,Head of DMS - Trưởng đơn vị Kho vận và Phân phối nội bộ,16 Kho vận và Phân phối nội bộ,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 4 mã),"Nhận nhiệm vụ và chỉ tiêu kho vận từ CEO, chuyển thành kế hoạch nhiệm vụ của phòng theo từng kho và từng nhóm hàng,…","Kế hoạch kho vận theo từng kho và nhóm hàng, đáp ứng mức phục vụ cam kết
Tồn kho chính xác theo lô và hạn dùng, chênh lệch kiểm kê trong ngưỡng
Điều kiện bảo quản đạt chuẩn GSP, có dữ liệu theo dõi nhiệt độ và độ ẩm
Báo cáo hàng cận hạn và hàng chậm luân chuyển theo kỳ",,Chờ TD-A04 mở rộng,"16-P01, 16-P02, 16-P03, 16-P04",Đã ban hành v2,,
VT-16-L01,Lead Kho vùng - Tổ trưởng kho khu vực,16 Kho vận và Phân phối nội bộ,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 4 mã),"Nhận nhiệm vụ và chỉ tiêu từ Head of DMS cho kho khu vực được giao, phân công cho Staff kho theo phiếu và theo khu vực…","Phiếu nhập xuất xử lý đúng ngày, đúng lô theo nguyên tắc FEFO
Kết quả kiểm kê định kỳ có biên bản và giải trình chênh lệch
Sơ đồ sắp xếp kho cập nhật, hàng biệt trữ tách khu rõ ràng
Báo cáo nhiệt độ và độ ẩm của kho theo nhịp quy định",,Chờ TD-A04 mở rộng,"16-P01, 16-P02, 16-P03, 16-P04",Đã ban hành v2,,
VT-16-S01,Nhân viên kho vận,16 Kho vận và Phân phối nội bộ,Staff,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 4 mã),"Nhận phiếu và đơn hàng do Lead phân công, trực tiếp kiểm nhận hàng về theo lô và hạn dùng, sắp xếp bảo quản, soạn và…","Hàng nhập kiểm nhận đúng số lượng, đúng lô và hạn dùng
Đơn hàng soạn và giao đúng, tỷ lệ soạn sai trong ngưỡng
Chứng từ kho ký nhận đầy đủ và nộp về đúng ngày
Khu vực kho giữ đúng điều kiện bảo quản và gọn gàng",,Chờ TD-A04 mở rộng,"16-P01, 16-P02, 16-P03, 16-P04",Đã ban hành v2,,
VT-17-H01,Head of Medical Marketing - Trưởng đơn vị Medical Marketing,17 Medical Marketing,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 5 mã),"Nhận nhiệm vụ về độ phủ phân khúc mục tiêu và hành trình A2D giai đoạn 1 đến 3 từ CEO, chuyển thành kế hoạch marketing…","Kế hoạch marketing y khoa theo brand, gắn với hành trình A2D giai đoạn 1 đến 3
Bộ thông điệp sản phẩm được duyệt, có bằng chứng khoa học kèm theo
Ấn phẩm và tài liệu thực địa đã qua duyệt nội dung và còn hiệu lực
Báo cáo độ phủ phân khúc mục tiêu và số HCP tương tác theo kỳ",,Chờ TD-A04 mở rộng,"17-P01, 17-P02, 17-P03, 17-P04",Đã ban hành v2,,
VT-17-L01,Medical Marketing Manager - Quản lý Medical Marketing,17 Medical Marketing,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,Nhận nhiệm vụ và phần chỉ tiêu độ phủ phân khúc cùng số HCP tương tác do Head phân bổ cho brand hoặc ngành hàng được…,"Kế hoạch brand theo tháng với chương trình và ngân sách rõ ràng
Tài liệu và chương trình khoa học tổ chức đúng kế hoạch
Bản cập nhật bằng chứng khoa học cho từng thông điệp
Báo cáo hiệu quả chương trình theo chỉ tiêu đã đặt",,Chờ TD-A04 mở rộng,"17-P01, 17-P02, 17-P03",Đã ban hành v2,,
VT-17-S01,Medical Marketing Executive - Chuyên viên Medical Marketing,17 Medical Marketing,Staff,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ được Lead phân công theo tài liệu, chương trình và dữ liệu cụ thể, thực hiện đúng quy trình phê duyệt và…","Tài liệu và ấn phẩm hoàn thiện đúng khuôn đã phê duyệt
Hồ sơ chương trình và hội thảo đủ chứng từ tuân thủ
Dữ liệu tương tác HCP cập nhật đúng hạn
Bản tổng hợp phản hồi từ thực địa gửi Lead",,Chờ TD-A04 mở rộng,"17-P01, 17-P02, 17-P03",Đã ban hành v2,,
VT-18-H01,"Head of Detailing - ETC, Trưởng kênh Detailing ETC",18 Detailing Sales,Head,mục đích cụt · nhiệm vụ (12 dòng) · quy trình (thiếu 8 mã),"Nhận nhiệm vụ và chỉ tiêu doanh thu sản phẩm chiến lược từ CEO, chuyển thành kế hoạch kênh detailing theo sản phẩm,…","Kế hoạch kênh detailing theo sản phẩm và theo vùng, chỉ tiêu phân bổ hết
Doanh thu ETC đạt chỉ tiêu, có số liệu theo từng vùng và từng sản phẩm
Độ phủ và chất lượng viếng thăm đạt chuẩn, dữ liệu ghi nhận trên hệ thống
Kết quả thầu bệnh viện theo danh mục được giao",,KN-01 → KN-20,"18-P01, 18-P02, 18-P03, 18-P04",Đã ban hành v2,,
VT-18-L01,Lead HPM - Quản lý Phát triển Đối tác Y tế (Healthcare Partner Manager),18 Detailing Sales,Lead,mục đích cụt · nhiệm vụ (12 dòng) · quy trình (thiếu 3 mã),"Nhận nhiệm vụ và phần chỉ tiêu được Head phân bổ cho vùng, chuyển thành kế hoạch triển khai theo tháng, theo chu kỳ và…","Kế hoạch vùng theo tháng và theo chu kỳ viếng thăm
Chỉ tiêu vùng đạt, có phân tích tới từng HPS
Biên bản đi thực địa cùng HPS và kế hoạch huấn luyện
Dữ liệu khách hàng và tương tác của vùng đúng và đủ",,KN-01 → KN-20,"18-P01, 18-P02, 18-P03, 18-P04",Đã ban hành v2,,
VT-18-L02,Lead KAM Pharmacy Chain - Quản lý Khách hàng Trọng điểm Chuỗi Nhà thuốc,18 Detailing Sales,Lead,mục đích cụt · nhiệm vụ (12 dòng),"Nhận nhiệm vụ và phần chỉ tiêu kênh chuỗi nhà thuốc do Head phân bổ, chuyển thành kế hoạch riêng cho từng chuỗi theo mã…","Kế hoạch riêng cho từng chuỗi, gắn mã khách hàng và điều kiện thương mại
Doanh số và độ phủ SKU tại từng chuỗi đạt chỉ tiêu
Hợp đồng và chương trình với chuỗi được ký và triển khai đúng cam kết
Báo cáo hiệu quả trưng bày và khuyến mại theo từng chuỗi",,KN-01 → KN-20,"18-P06, 18-P07, 18-P08, 18-P09",Đã ban hành v2,,
VT-18-S01,"Staff Admin hỗ trợ kinh doanh và thầu - Nhân viên Hành chính Chi nhánh, Hỗ trợ Bán hàng và Hành chính Đấu thầu",18 Detailing Sales,Staff,mục đích cụt · nhiệm vụ (12 dòng),"Nhận phần việc hỗ trợ vận hành do Lead phân bổ, chuyển thành các đầu việc có thời hạn về đơn hàng, dữ liệu, chứng từ,…","Đơn hàng nhập và xử lý đúng ngày, không để tồn đọng
Hồ sơ thầu chuẩn bị đủ thành phần trước hạn nộp
Chứng từ bán hàng và công nợ đối chiếu khớp với Kế toán
Dữ liệu khách hàng và báo cáo bán hàng cập nhật đúng nhịp",,KN-01 → KN-20,"18-P06, 18-P07, 18-P08, 18-P09",Đã ban hành v2,,
VT-18-S02,Staff HPS - Chuyên viên Phát triển Đối tác Y tế (Healthcare Partner Specialist),18 Detailing Sales,Staff,mục đích cụt · nhiệm vụ (12 dòng) · quy trình (thiếu 3 mã),"Nhận nhiệm vụ và phần chỉ tiêu do Lead HPM phân bổ cho cá nhân, chuyển thành call plan và kế hoạch chăm sóc từng khách…","Call plan thực hiện đúng kế hoạch, có bản ghi tiếp xúc từng lượt
Chỉ tiêu doanh số và độ phủ cá nhân đạt theo kỳ
Dữ liệu khách hàng và giai đoạn A2D cập nhật ngay sau mỗi lượt viếng thăm
Phản hồi và phản đối của HCP ghi nhận đầy đủ để đội y khoa xử lý",,KN-01 → KN-20,"18-P01, 18-P02, 18-P03, 18-P04",Đã ban hành v2,,
VT-19-H01,Head of Online Sales - Giám đốc Online Sales,19 Online Sales,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực · quy trình (thiếu 3 mã),"Nhận nhiệm vụ và chỉ tiêu tăng trưởng kênh số từ CEO, chuyển thành kế hoạch bán hàng kênh online theo sàn, danh mục và…","Kế hoạch bán hàng kênh online theo sàn và theo danh mục
Doanh thu và biên lợi nhuận kênh số đạt chỉ tiêu
Gian hàng vận hành đúng chuẩn thương hiệu và đúng quy định quảng cáo
Báo cáo hiệu quả chiến dịch và chi phí trên mỗi đơn hàng",,Chờ TD-A04 mở rộng,"19-P01, 19-P02, 19-P03, 19-P04",Đã ban hành v2,,
VT-19-L01,Lead Online Sales - Trưởng nhóm Online Sales,19 Online Sales,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ và phần chỉ tiêu được Head phân bổ cho nhóm, chuyển thành kế hoạch triển khai theo sàn và theo tuần, phân…","Kế hoạch triển khai theo sàn và theo tuần
Nội dung và chương trình khuyến mại đăng đúng lịch, đã được duyệt
Chỉ tiêu đơn hàng và tỷ lệ chuyển đổi đạt theo kỳ
Tồn kho và giá bán trên sàn khớp với chính sách",,Chờ TD-A04 mở rộng,"19-P01, 19-P02, 19-P03",Đã ban hành v2,,
VT-19-S01,Nhân viên Online Sales,19 Online Sales,Staff,mục đích cụt · nhiệm vụ (11 dòng) · năng lực,"Nhận nhiệm vụ từ Lead, trực tiếp vận hành gian hàng, đăng nội dung đã được duyệt, tư vấn và chăm sóc khách hàng online,…","Gian hàng cập nhật đủ SKU, giá và tồn đúng chính sách
Nội dung đăng đúng bản đã duyệt, không phát sinh vi phạm
Đơn hàng xử lý và khách được chăm sóc trong thời hạn cam kết
Bản tổng hợp phản hồi và đánh giá của khách hàng",,Chờ TD-A04 mở rộng,"19-P01, 19-P02, 19-P03",Đã ban hành v2,,
VT-20-H01,"Head of OxDC - Trưởng đơn vị Giao hàng, Thu tiền và Hậu mãi",20 Giao hàng - Thu tiền - Hậu mãi,Head,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu giao hàng, thu tiền và hậu mãi từ CEO, chuyển thành kế hoạch nhiệm vụ của phòng theo vùng và…","Kế hoạch giao hàng và thu tiền theo vùng, đạt mức phục vụ cam kết
Tỷ lệ giao đúng hạn và tỷ lệ thu đúng hạn đạt chỉ tiêu
Tuổi nợ kiểm soát trong ngưỡng, công nợ được đối chiếu theo kỳ
Hồ sơ hậu mãi và khiếu nại xử lý đúng quy trình",,Chờ TD-A04 mở rộng,"20-P01, 20-P02, 20-P03, 20-P04",Đã ban hành v2,,
VT-20-L01,Lead Giao nhận và Công nợ vùng,20 Giao hàng - Thu tiền - Hậu mãi,Lead,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận nhiệm vụ và chỉ tiêu từ Head of OxDC cho vùng được giao, phân công tuyến giao hàng và danh mục công nợ cho Staff,…","Tuyến giao hàng phân công tối ưu theo ngày
Công nợ vùng theo dõi tới từng khách hàng, cảnh báo quá hạn kịp thời
Biên bản đối chiếu công nợ ký với khách hàng theo kỳ
Báo cáo sự cố giao hàng và hàng trả về",,Chờ TD-A04 mở rộng,"20-P01, 20-P02, 20-P03, 20-P04",Đã ban hành v2,,
VT-20-S01,"Nhân viên Giao hàng, Thu tiền và Chăm sóc sau bán",20 Giao hàng - Thu tiền - Hậu mãi,Staff,mục đích cụt · nhiệm vụ (12 dòng) · năng lực,"Nhận tuyến giao hàng và danh mục khách hàng do Lead phân công, trực tiếp nhận hàng từ kho, giao đến khách hàng, thu…","Hàng giao đủ, đúng khách và đúng thời gian đã hẹn
Tiền thu nộp về đúng ngày, chứng từ đầy đủ
Chứng từ giao nhận có ký nhận của khách hàng
Phản hồi và yêu cầu hậu mãi chuyển về đúng đầu mối",,Chờ TD-A04 mở rộng,"20-P01, 20-P02, 20-P03, 20-P04",Đã ban hành v2,,
